dataset,top1,top3
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac3_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac3_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac5_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac2_ev,0.9333333333333333,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac4_ev,0.8333333333333334,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac2_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac2_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac2_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac4_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac3_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac5_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac3_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac1_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ec_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac4_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac4_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac2_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac5_av,0.8666666666666667,0.9333333333333333
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac3_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac5_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac1_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac5_av,0.9090909090909091,0.9090909090909091
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac1_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac5_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ec_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac3_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ac4_ev,0.8666666666666667,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ac2_ev,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_70_ec_av,1.0,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_50_ac4_av,0.9090909090909091,1.0
Valentine-datasets/TPC-DI/View-Unionable/prospect_both_0_30_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_70_ac4_ev,0.9333333333333333,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_50_ac2_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_30_ac2_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_70_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_70_ac5_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_50_ac3_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_30_ac3_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_50_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_50_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ac3_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_50_ac5_ev,0.9090909090909091,0.9090909090909091
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ac5_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ac2_ev,0.8666666666666667,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_vertical_50_ac4_ev,0.9090909090909091,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_30_ac4_ev,1.0,1.0
Valentine-datasets/TPC-DI/Joinable/prospect_both_50_70_ac1_ev,1.0,1.0
